O3	51,230	4.149	13.2	6.04	87.6	3552	2.7E-6	49.87	49.29	24.84	24.26
O4	48,670	4.106	12.3	5.88	68.9	3266	1.8E-6	49.68	49.06	24.72	24.09
O4.5	47,400	4.093	11.8	5.81	62.3	3138	1.4E-6	49.59	48.94	24.66	24.01
O5	46,120	4.081	11.4	5.73	56.6	3026	1.1E-6	49.49	48.83	24.59	23.93
O5.5	44,840	4.060	11.0	5.65	50.4	2903	8.9E-7	49.39	48.70	24.52	23.83
O6	43,560	4.042	10.7	5.57	45.2	2784	7.2E-7	49.29	48.56	24.45	23.72
O6.5	42,280	4.030	10.3	5.49	41.0	2666	5.6E-7	49.18	48.46	24.37	23.65
O7	41,010	4.021	10.0	5.40	37.7	2543	4.5E-7	49.06	48.32	24.28	23.53
O7.5	39,730	4.006	9.6	5.32	34.1	2428	3.5E-7	48.92	48.11	24.17	23.36
O8	38,450	3.989	9.3	5.24	30.8	2313	2.7E-7	48.75	47.86	24.03	23.14
O8.5	37,170	3.974	9.0	5.15	28.0	2194	2.1E-7	48.61	47.55	23.92	22.85
O9	35,900	3.959	8.8	5.06	25.4	2083	1.7E-7	48.47	47.17	23.80	22.50
O9.5	34,620	3.947	8.5	4.97	23.3	1972	1.3E-7	48.26	46.63	23.62	21.99
B0	33,340	3.932	8.3	4.88	21.2	1853	1.0E-7	48.02	45.82	23.40	21.20
B0.5	32,060	3.914	8.0	4.79	19.3	1747	7.8E-8	47.71	45.36	23.12	20.77
