Table 1
Grid Parameters Related to Stellar Evolutionary Tracks

Model	M (M_sun)	log L (L_sun)	T_eff (K)	R (R_sun)	v_esc (km s^-1)	He	C	N	O	Sp. Type	
 1	120.0	6.25	59,870	12.4	1506						
 2	119.6	6.25	52,061	16.3	1307					O2 I	
 3	113.2	6.25	49,139	18.4	1179					O2 I	
 4	103.4	6.25	46,967	20.1	1040	1.1	26	9	2	O2 I	
 5	91.8	6.25	46,330	20.6	916	1.4	21	11	4	O2 I	
 6	74.1	6.23	25,085	68.7	431	2.2	18	12	17	B0.5 Ia	
 7	35.8	5.90	22,339	59.2	328	3.0	18	12	31	B1 Ia	
 8	9.2	4.93	25,100	15.4	420	3.2	18	12	31	B1 III	
 9	99.6	6.13	58,567	11.3	1477						
10	99.8	6.13	50,928	14.9	1286					O2 I	
11	96.5	6.14	48,499	16.7	1179					O2 I	
12	91.2	6.15	46,122	18.6	1057					O2 I	
13	83.5	6.16	43,501	21.1	909	2.0	22	11	20	O3 I	
14	71.0	6.16	35,514	31.7	633	3.0	18	12	31	O6.5 I	
15	51.8	6.08	31,527	36.9	461	3.0	18	12	31	O9 I	
16	13.2	5.35	33,117	14.3	442	3.0	17	12	32	O8 III	
17	80.1	5.96	57,000	9.8	1483						
18	79.9	5.96	49,566	12.9	1286					O2 I	
19	78.6	5.98	47,765	14.2	1199					O2 I	
20	76.5	6.00	45,683	15.9	1099					O3 I	
21	72.7	6.01	42,474	18.8	970					O3 I	
22	65.9	6.03	38,434	23.2	788	1.2	24	10	4	O5 I	
23	57.5	6.05	36,653	26.2	641	1.7	20	12	8	O6 I	
24	37.1	6.01	24,041	58.4	288	3.0	16	12	32	B1.5 Ia	
25	60.1	5.73	54,635	8.2	1467						
26	59.9	5.73	47,509	10.8	1274					O2 V	
27	59.4	5.75	46,277	11.7	1211					O2 V	
28	58.7	5.78	44,963	12.8	1133					O3 V	
29	57.5	5.80	43,138	14.3	1051					O4 III	
30	55.7	5.83	40,319	16.8	928					O5 III	
31	52.3	5.85	34,971	23.0	751					O7 I	
32	46.3	5.88	25,314	45.1	488	1.1	28	9	2	B1 Ia	
33	50.0	5.57	52,465	7.4	1444						
34	50.0	5.57	45,622	9.7	1255					O2 V	
35	49.2	5.62	43,576	11.3	1137					O3 V	
36	47.8	5.67	40,507	13.9	990					O5 V	
37	46.6	5.69	37,807	16.4	889					O6 III	
38	44.2	5.72	33,037	22.1	726					O8 I	
39	39.8	5.75	24,880	40.4	499					B1 Ia	
40	16.9	5.59	29,759	23.5	352					O9.5 I	
41	39.9	5.38	50,294	6.5	1412						
42	40.0	5.38	43,734	8.5	1228					O3 V	
43	39.5	5.42	42,084	9.7	1137					O4 V	
44	38.8	5.47	40,205	11.2	1030					O5 V	
45	37.5	5.53	36,500	14.5	866					O7 III	
46	36.3	5.56	32,858	18.5	742					O8 I	
47	34.4	5.59	26,494	29.6	569					B1 I	
48	15.7	5.53	32,953	17.9	383					O8 I	
49	30.0	5.11	45,971	5.7	1339						
50	30.0	5.11	39,975	7.5	1166					O5.5 V	
51	29.3	5.19	37,688	9.3	1023					O6.5 V	
52	28.5	5.27	34,549	12.0	865					O7.5 III	
53	28.0	5.30	32,589	14.0	789					O8.5 III	
54	27.4	5.33	29,727	17.5	699					B0 III	
55	26.6	5.37	24,838	26.1	553					B0.5 I	
56	15.6	5.45	15,267	75.4	212					B3 Ia	
57	25.0	4.91	43,811	5.0	1328						
58	25.0	4.91	38,097	6.5	1155					O6.5 V	
59	24.6	4.97	36,525	7.7	1053					O7 V	
60	24.4	5.02	35,524	8.5	983					O7.5 V	
61	24.0	5.06	34,052	9.8	908					O8.5 V	
62	23.8	5.09	32,982	10.7	856					O8.5 III	
63	23.3	5.14	29,531	14.3	733					B0 III	
64	22.9	5.18	26,636	18.2	634					B0.5 III	
65	22.4	5.21	23,768	23.7	546					B0.7 III	
66	20.0	4.66	40,422	4.4	1282						
67	20.0	4.66	35,150	5.7	1116					O8 V	
68	19.9	4.70	34,298	6.3	1057					O8 V	
69	19.6	4.76	33,160	7.3	975					O8.5 V	
70	19.3	4.84	31,151	9.0	860					O9.5 V	
71	19.1	4.89	29,320	10.8	780					B0 V	
72	18.9	4.92	27,925	12.3	724					B0.5 III	
73	18.5	4.98	24,035	17.9	590					B1 III	
74	15.0	4.31	35,864	3.7	1221						
75	15.0	4.31	31,186	4.9	1062					O9.5 V	
76	14.9	4.37	30,294	5.6	991					B0 V	
77	14.9	4.40	30,016	5.9	963					B0 V	
78	14.8	4.43	29,660	6.2	934					B0 V	
79	14.8	4.45	29,253	6.6	908					B0 V	
80	14.8	4.48	28,766	7.0	875					B0.5 V	
81	14.6	4.57	26,393	9.3	754					B0.7 V	
82	14.5	4.63	24,266	11.7	664					B1 III	
83	14.4	4.67	22,909	13.7	608					B1 III	
84	10.0	3.77	25,453	3.9	977					B1.5 V	
85	10.0	3.88	24,487	4.8	880					B1.5 V	
86	5.0	2.74	17,169	2.7	848					B3 V	
