O3	50,680	4.013	17.8	6.27	115.9	3435	1.6E-5	50.10	49.53	24.82	24.25
O4	47,690	3.928	18.6	6.21	104.7	3119	1.4E-5	50.02	49.34	24.70	24.02
O4.5	46,200	3.866	19.1	6.18	95.7	2973	1.3E-5	49.98	49.29	24.63	23.94
O5	44,700	3.800	19.6	6.14	86.5	2897	1.2E-5	49.93	49.17	24.56	23.80
O5.5	43,210	3.740	20.1	6.10	79.5	2670	1.1E-5	49.87	49.06	24.48	23.67
O6	41,710	3.690	20.6	6.07	74.7	2554	9.6E-6	49.82	48.98	24.41	23.57
O6.5	40,210	3.636	21.2	6.03	69.6	2424	8.7E-6	49.75	48.86	24.31	23.42
O7.5	37,220	3.516	22.4	5.94	59.2	2172	7.0E-6	49.57	48.56	24.08	23.08
O8	35,730	3.456	23.1	5.90	54.8	2057	6.3E-6	49.50	48.42	23.99	22.91
O8.5	34,230	3.395	23.8	5.85	50.6	1948	5.5E-6	49.37	48.14	23.84	22.60
O9	32,740	3.333	24.6	5.80	46.7	1847	4.8E-6	49.24	47.73	23.68	22.17
O9.5	31,240	3.269	25.4	5.74	43.1	1759	4.1E-6	49.04	46.94	23.44	21.35
