O3	50,960	4.084	15.3	6.15	101.4	3497	1.1E-5	49.98	49.42	24.83	24.27
O4	48,180	4.005	15.1	6.05	82.8	3186	8.4E-6	49.86	49.23	24.71	24.08
O4.5	46,800	3.971	15.0	5.99	75.8	3051	7.3E-6	49.78	49.11	24.64	23.97
O5	45,410	3.931	15.0	5.93	68.4	2912	6.3E-6	49.72	49.01	24.58	23.88
O5.5	44,020	3.891	14.9	5.88	62.0	2782	5.4E-6	49.64	48.90	24.51	23.77
O6	42,640	3.855	14.8	5.82	56.6	2662	4.6E-6	49.56	48.81	24.43	23.69
O6.5	41,250	3.820	14.8	5.76	52.0	2535	3.9E-6	49.46	48.64	24.33	23.52
O7	39,860	3.782	14.7	5.70	47.4	2416	3.3E-6	49.36	48.50	24.24	23.38
O8	37,090	3.700	14.7	5.57	39.0	2170	2.4E-6	49.12	48.09	24.00	22.98
O8.5	35,700	3.660	14.7	5.50	35.6	2062	2.0E-6	49.01	47.87	23.89	22.75
O9	34,320	3.621	14.7	5.43	32.6	1952	1.7E-6	48.86	47.47	23.74	22.35
O9.5	32,930	3.582	14.7	5.36	29.9	1843	1.4E-6	48.67	46.81	23.55	21.69
B0	31,540	3.542	14.7	5.29	27.4	1746	1.1E-6	48.39	46.24	23.27	21.12
B0.5	30,160	3.500	14.8	5.21	25.1	1642	9.2E-7	48.06	45.66	22.93	20.54
